ORIGIN_AIRPORT,flights,avg_arrival_delay,delayed_rate,destinations,criticality_score
11057,9537,1.6240956275558351,0.13746461151305442,62,0.22997653300683604
11618,9508,-1.8995582667227597,0.1364114429953723,76,0.22419481005339592
11298,20586,0.7424463227436121,0.12906829884387447,137,0.21576029656837742
ROA,2217,7.52999548940009,0.18764095624718088,3,0.21404845310569218
MHT,6115,-0.26116107931316435,0.14309076042518398,12,0.2130394857667585
MRY,2836,6.208392101551481,0.16960507757404794,3,0.21182645761770344
13930,27566,-2.483167670318508,0.12616991946600886,147,0.2105680826219547
HSV,4423,3.394754691385937,0.1517069862084558,8,0.20242832364044486
CHO,2092,9.344168260038241,0.19455066921606118,3,0.20203153873187543
GEG,9440,2.794385593220339,0.1323093220338983,10,0.19986622680225374
14107,12884,-0.02103384042222912,0.1286091276001242,74,0.19553560294301034
OGG,20477,1.0718855301069492,0.12452996044342433,18,0.19283746556473833
11697,5753,1.3610290283330437,0.13975317225795236,51,0.1926674148896371
JAC,3444,2.516840882694541,0.156794425087108,13,0.19045675611332177
EUG,3558,3.5202360876897134,0.1543001686340641,5,0.19004863449307893
RST,1971,3.8995433789954337,0.19736174530695078,5,0.18937976850434762
KTN,2287,3.19938784433756,0.17315260166156538,4,0.18759990477162192
13303,5929,0.18350480688143025,0.13661663012312364,46,0.18584271446224307
AVL,2673,6.087542087542087,0.16498316498316498,3,0.18553662324706097
ALB,7322,-1.8672493854138215,0.13220431576072111,15,0.18212427303336393
14100,6065,-1.8268755152514426,0.13454245671887882,43,0.18043510299402554
TYR,2199,6.648931332423829,0.17462482946793997,2,0.17982292056366128
SRQ,3318,4.518685955394816,0.1546112115732369,7,0.1792560849799907
ABE,2227,6.249663224068254,0.17198024247867086,3,0.17722681359044995
CAK,5974,-0.06528289253431536,0.13441580180783394,12,0.17447199265381086
MFR,2430,4.451028806584362,0.1654320987654321,3,0.1715244476187237
RAP,3197,3.441664060056303,0.1538942758836409,7,0.16781734290151798
ELM,2007,5.559043348281016,0.17787742899850523,3,0.16728451745286763
CMI,1994,4.228184553660983,0.17803410230692077,2,0.16386083052749717
DRO,2019,6.108964834076275,0.1748390292223873,3,0.16192225283134376
TLH,3141,3.865329512893983,0.15313594396688954,3,0.16125338684261242
11292,18077,-1.2517563755047851,0.11810588040050893,121,0.15919010531805144
ANC,15818,-0.3822860032873941,0.1183461878872171,30,0.15780702649389516
14747,10361,-1.6210790464240903,0.12132033587491554,63,0.15381650398485414
MDT,3210,2.2884735202492212,0.1470404984423676,6,0.1525354555657586
12191,4681,2.39051484725486,0.13437299722281565,45,0.15235406817898403
LNK,2564,4.760530421216849,0.156396255850234,4,0.14030314367014704
FSM,1910,6.858638743455497,0.17329842931937173,2,0.13987234862655737
MFE,3294,4.3670309653916215,0.14055859137826351,2,0.13927150290786655
11278,6759,-1.06998076638556,0.12250332889480692,46,0.13823986214558606
10721,10091,-1.7265880487563174,0.11604399960360717,56,0.13808114818215828
LAN,1800,6.32,0.18166666666666667,4,0.13499756260699022
GPT,3514,1.5429709732498578,0.13488901536710302,3,0.13000940947068895
DLH,1666,10.024609843937576,0.2034813925570228,2,0.12712988470564227
BZN,3557,1.7790272701714929,0.13325836378971043,12,0.12570145903479235
TVC,2660,1.9323308270676691,0.14661654135338345,6,0.12536135768459
BFL,2587,3.502126014688829,0.14920757634325474,4,0.12515729687446858
13204,9006,-0.3718632023095714,0.11292471685542971,66,0.11967032842453719
ABI,2231,3.2720753025549083,0.15329448677722995,1,0.11899012572413246
11433,9882,-0.8477028941509815,0.11232544019429265,99,0.11790180140348491
ISN,2479,0.8507462686567164,0.145623235175474,3,0.11427405366799306
FNT,4629,-1.8960898682220781,0.12140851155757183,8,0.1105329388157671
ECP,4139,0.3800434887654023,0.12176854312635903,7,0.10400299289188177
14893,3598,2.0314063368538076,0.12312395775430796,25,0.09867473840537813
13796,3994,0.9812218327491237,0.12068102153229844,32,0.09488827670645852
10693,4450,-1.1238202247191011,0.1150561797752809,43,0.09369792198075026
TRI,1906,4.061909758656873,0.1558237145855194,1,0.0933578206305479
14679,6184,-0.31128719275549804,0.10850582147477361,44,0.08927660442811958
AZO,1743,0.7314974182444062,0.1646586345381526,4,0.08844902447596051
