ROUTE,flights,avg_arrival_delay,delayed_rate,avg_distance
SJC-LAX,6194,12.09945108169196,0.269615757184372,308.0
CRP-DFW,1397,12.53042233357194,0.2691481746599857,354.0
ORD-MSY,1371,11.901531728665208,0.26914660831509846,837.0
MDW-SEA,1015,9.617733990147784,0.2689655172413793,1733.0
DAL-SFO,1313,12.974105102817974,0.26884996191926885,1476.0
MAF-DFW,1073,14.408201304753028,0.2684063373718546,309.0
JFK-PBI,1858,8.854682454251884,0.2680301399354144,1028.0
MIA-BOS,2274,10.725153913808267,0.2678100263852243,1258.0
LGA-FLL,5169,8.652930934416714,0.2671696653124395,1076.0
RDU-JFK,1483,10.641942009440324,0.2670262980445044,427.0
EWR-SJU,1181,7.9187129551227775,0.26672311600338694,1608.0
HPN-PBI,1010,12.20891089108911,0.26633663366336635,1056.0
ORD-OKC,1781,11.052217855137563,0.26614261650758003,693.0
ATL-HPN,1815,12.10633608815427,0.26611570247933886,780.0
BTR-DFW,2233,16.02373488580385,0.2660098522167488,383.0
LGA-RIC,1283,8.915822291504286,0.2657833203429462,292.0
LGA-BNA,2239,8.419383653416704,0.26574363555158553,764.0
RSW-JFK,1186,11.640809443507589,0.26559865092748736,1074.0
CLT-LGA,3479,12.617131359586088,0.2655935613682093,544.0
TPA-LGA,1898,13.966280295047419,0.2655426765015806,1010.0
MDW-EWR,1691,12.35659373151981,0.26552335895919577,711.0
ORD-ICT,2098,11.244518589132507,0.2650142993326978,588.0
LAX-HOU,1533,9.733855185909981,0.26353555120678407,1390.0
ORD-SFO,7273,9.259865255052935,0.26344012099546266,1846.0
IAH-LGA,2245,10.155902004454344,0.26325167037861913,1416.0
DAL-LAX,2464,10.730113636363637,0.262987012987013,1246.0
LGA-STL,1521,7.259040105193951,0.26298487836949375,888.0
ORD-LAX,7826,8.320214669051879,0.2627140301558906,1744.0
MDW-BOS,1344,11.970238095238095,0.26264880952380953,861.0
IAH-MCO,2583,14.67828106852497,0.26248548199767713,854.0
SFO-LAX,13400,11.44,0.26231343283582087,337.0
DFW-VPS,1682,11.994649227110582,0.2621878715814506,641.0
SFO-HNL,2043,13.4997552618698,0.26186979931473325,2398.0
ORD-TPA,2399,13.098791162984577,0.2617757398916215,1012.0
LGA-PBI,2839,7.984853821768228,0.2613596336738288,1035.0
MSP-IAH,1718,10.877764842840513,0.26135040745052385,1034.0
LAX-ABQ,1811,11.05577029265599,0.26118166758696854,677.0
FLL-LGA,5145,10.54382896015549,0.2610301263362488,1076.0
BWI-JAX,1089,10.401285583103764,0.26078971533516987,663.0
DEN-IAH,4766,11.318296265211918,0.26038606798153585,862.0
MIA-MCO,3015,11.588391376451078,0.2603648424543947,192.0
IAH-DTW,1886,12.1813361611877,0.26033934252386004,1075.0
RSW-BOS,1596,10.347117794486216,0.2600250626566416,1249.0
DEN-SFO,5313,9.779032561641257,0.2599284773197817,967.0
IAH-EWR,3162,10.79696394686907,0.2596457938013915,1400.0
DFW-MIA,3616,13.000276548672566,0.2594026548672566,1121.0
DTW-LGA,4233,11.596267422631703,0.2579730687455705,502.0
MIA-LGA,6109,8.892944835488624,0.25765264364053037,1096.0
IAD-MCO,1645,10.044376899696049,0.2571428571428571,758.0
ORD-TYS,2019,11.36998514115899,0.25606736007924713,475.0
IAH-AUS,2000,14.6105,0.256,140.0
FLL-BOS,2140,10.72803738317757,0.25560747663551403,1237.0
IAH-SAT,2279,12.19482229047828,0.25537516454585346,191.0
ASE-DEN,1026,10.897660818713451,0.2553606237816764,125.0
DEN-LAX,5640,10.551950354609929,0.2551418439716312,862.0
ORD-SLC,2556,11.599374021909233,0.25508607198748046,1250.0
SHV-DFW,2184,15.447344322344323,0.25503663003663,190.0
SMF-LAX,5490,10.671220400728597,0.25482695810564665,373.0
ORD-AUS,2183,10.738891433806687,0.25469537333944114,977.8144754924416
MCO-HPN,1206,12.68407960199005,0.25456053067993367,972.0
LAS-BOS,1005,8.064676616915422,0.2537313432835821,2381.0
IAH-TPA,1742,10.803099885189438,0.2537313432835821,787.0
ORD-SBN,1101,11.66030881017257,0.25340599455040874,84.0
DFW-SHV,2179,13.454795777879761,0.2533272143184947,190.0
SJU-BOS,1074,9.630353817504655,0.2532588454376164,1674.0
ORD-RDU,1864,12.006437768240342,0.2532188841201717,646.0
IAH-DEN,4457,11.726722010320843,0.25286066861117346,862.0
SFO-FLL,1238,11.235056542810986,0.252827140549273,2583.6785137318257
BWI-LAX,1104,7.158514492753623,0.25271739130434784,2329.0
EWR-ORD,3594,10.037284362826934,0.25264329437952143,719.0
DFW-JAN,2192,12.421076642335766,0.2522810218978102,408.0
ORD-LGA,9101,10.287331062520602,0.2522799692341501,733.0
DEN-EWR,2546,8.293794186959937,0.25216025137470544,1605.0
JAN-DFW,2187,12.23228166438043,0.2519433013260174,408.0
LAX-SFO,13109,10.739186818216492,0.25188801586696163,337.0
MSP-ORD,6159,12.484494236077285,0.2518265952264978,334.0
DFW-BTR,2241,13.887996430165105,0.25167336010709507,383.0
MIA-PHL,2619,10.182894234440626,0.2512409316533028,1013.0
DEN-OMA,2030,10.699507389162562,0.2512315270935961,472.0
IAH-SFO,3404,12.242361927144536,0.2511750881316099,1635.0
CLT-LAX,1951,4.067657611481292,0.2511532547411584,2125.0
PHX-HNL,1118,8.068872987477638,0.2504472271914132,2917.0
EWR-IAH,3265,7.8814701378254215,0.25022970903522207,1400.0
MIA-EWR,2646,9.943310657596372,0.24981103552532125,1085.0
ORD-XNA,2493,9.764941837144002,0.2494985960689932,522.0
EWR-PBI,2518,9.447577442414614,0.2494042891183479,1023.0
DAL-MCI,2142,11.373949579831933,0.2488328664799253,460.0
DEN-ORD,5472,12.245796783625732,0.24835526315789475,888.0
MDW-LAX,1821,4.979681493684788,0.2482152663371774,1750.0
DFW-CVG,2040,10.310294117647059,0.24754901960784315,812.0
TPA-BOS,1081,10.42368177613321,0.24699352451433856,1185.0
ORD-MCO,4350,10.45816091954023,0.24689655172413794,1005.0
IND-EWR,1200,11.6725,0.24666666666666667,645.0
PHX-ONT,2968,9.48820754716981,0.24663072776280323,325.0
ORD-LIT,1946,8.732785200411099,0.24614594039054472,552.0
DEN-FSD,1292,10.591331269349846,0.24613003095975233,483.0
VPS-DFW,1678,12.1746126340882,0.2461263408820024,641.0
SNA-SFO,4212,8.950617283950617,0.2459639126305793,372.0
MDW-SAN,1151,3.746307558644657,0.24587315377932234,1728.0
MCO-ORD,4348,11.850275988960442,0.24563017479300828,1005.0
OKC-ORD,1741,11.940264215967835,0.24526134405514072,693.0
ORD-DFW,7447,8.944944272861555,0.24519940915805022,802.0
EWR-DCA,1377,9.205519244734932,0.24473493100944083,199.0
MIA-DCA,2918,7.961274845784784,0.2446881425633996,919.0
ORD-CLE,3811,11.047231697717134,0.244555234846497,315.18945158750984
DAL-ABQ,1554,9.998069498069498,0.24453024453024452,580.0
ORD-MCI,2140,10.19252336448598,0.24439252336448597,403.0
LGA-MCO,3818,7.2386066003143,0.24436877946568883,950.0
JFK-FLL,4333,7.283637202861758,0.24417262866374337,1069.0
BWI-ISP,1483,11.856372218476062,0.24409979770734996,220.0
MCO-LGA,3813,12.989247311827956,0.24390243902439024,950.0
BWI-ORD,2374,10.287278854254422,0.2438921651221567,622.0
MIA-SFO,1017,6.425762045231072,0.24385447394296952,2585.0
ORD-BDL,1466,10.266030013642565,0.24351978171896316,783.0
SFO-IAH,3375,10.044444444444444,0.24325925925925926,1635.0
LAX-FAT,1999,11.708854427213607,0.24262131065532766,209.0
BWI-IND,1003,11.833499501495513,0.24227318045862412,516.0
LGA-MDW,2102,5.7407231208372975,0.24215033301617508,725.0
PHX-DAL,1439,8.962473940236276,0.24113968033356498,879.0
JFK-ORD,1539,7.942170240415854,0.2410656270305393,740.0
LAS-SFO,7812,9.774833589349718,0.24078341013824886,414.0
XNA-DFW,2141,12.691265763661841,0.24054180289584307,280.0
XNA-ORD,2470,14.110526315789473,0.24048582995951417,522.0
SBA-SFO,2031,9.654357459379616,0.24027572624322993,262.0
BOI-SFO,1370,11.933576642335767,0.24014598540145984,522.0
DFW-PNS,1117,9.356311548791405,0.23992837958818264,604.0
LAX-OAK,6060,9.465346534653465,0.23976897689768978,337.0
CLT-EWR,4001,10.914021494626343,0.23969007748062984,529.0
LAX-IAH,4174,9.831576425491136,0.23933876377575466,1379.0
DAL-LIT,1007,9.583912611717974,0.23932472691161866,296.0
LGA-DTW,4255,6.940305522914219,0.23924794359576967,502.0
LAX-TUS,2617,10.512800917080627,0.23920519679021782,451.0
ORD-DSM,3136,9.722895408163266,0.23915816326530612,299.0
PHX-LAX,7306,8.763345195729537,0.23898165891048453,370.0
DFW-FSM,1248,10.407051282051283,0.2387820512820513,227.0
BWI-CLE,1173,8.6538789428815,0.23870417732310314,314.0
DEN-DFW,6005,10.765362198168193,0.23846794338051625,641.0
BOS-DEN,2357,4.864234196011879,0.23801442511667373,1754.0
STL-DAL,2084,8.40355086372361,0.2380038387715931,546.0
BWI-RSW,1206,6.991708126036484,0.23797678275290216,919.0
CLE-LGA,2448,8.431372549019608,0.23774509803921567,419.0
ORD-BNA,3441,9.811101424004649,0.23772159256030223,409.0
JFK-AUS,1562,4.730473751600512,0.23751600512163892,1521.0
LAX-SMF,5483,9.833667700164144,0.23746124384461062,373.0
SLC-SFO,2924,8.474350205198359,0.23734610123119015,599.0
JFK-RDU,1489,5.620550705171256,0.23707186030893218,427.0
