ORIGIN_AIRPORT,total_flights,avg_arrival_delay,delayed_rate,avg_distance,cancelled_rate,destinations_served,madrugada,morning_delay_rate,night_delay_rate,afternoon_delay_rate,cluster,pca_1,pca_2
COS,83,14.493975903614459,0.25301204819277107,630.9638554216867,0.0,9,0.0,0.13114754098360656,0.0,0.5909090909090909,5,-0.11456982425172593,-0.32841094528810405
COU,13,14.0,0.46153846153846156,395.3076923076923,0.0,2,0.0,0.42857142857142855,0.0,0.5,5,0.9835884348204708,-0.9072024534636016
CPR,18,-8.555555555555555,0.1111111111111111,265.0,0.0,2,0.0,0.09090909090909091,0.0,0.14285714285714285,0,-2.0134979577535397,-1.0666966763100498
CRP,54,22.185185185185187,0.4444444444444444,257.64814814814815,0.0,3,0.0,0.3181818181818182,0.375,0.7,5,1.5696763422545157,-0.6095004174557095
CRW,21,26.80952380952381,0.38095238095238093,548.8571428571429,0.0,4,0.0,0.1,0.0,0.6363636363636364,5,0.6627014340572753,-0.6132321938214923
CSG,6,9.166666666666666,0.3333333333333333,83.0,0.0,1,0.0,0.0,0.0,0.6666666666666666,5,-0.04995359810106914,-1.1879301593620009
CVG,178,7.589887640449438,0.2696629213483146,768.6797752808989,0.0,26,0.0,0.16853932584269662,0.41935483870967744,0.3508771929824561,3,-0.42192212715201943,0.7143912743539748
CWA,13,6.846153846153846,0.46153846153846156,209.15384615384616,0.0,2,0.0,0.5,0.0,0.42857142857142855,5,0.8288476378984376,-1.1194675883954808
DAB,14,-6.571428571428571,0.07142857142857142,366.0,0.0,1,0.0,0.1,0.0,0.0,0,-2.327772195572643,-1.0162732001398018
DAL,497,15.82897384305835,0.3722334004024145,630.1307847082495,0.0,33,0.0,0.1527777777777778,0.7029702970297029,0.45,3,0.4393218568460264,1.5627556291799891
DAY,77,-1.8181818181818181,0.12987012987012986,505.8961038961039,0.0,10,0.0,0.02857142857142857,0.4,0.15625,0,-1.6785224321925216,-0.1800186532927323
DBQ,7,-20.285714285714285,0.0,147.0,0.0,1,0.0,0.0,0.0,0.0,0,-3.1020670196058675,-1.252538422157829
DCA,577,3.3310225303292893,0.1733102253032929,861.2738301559792,0.0,42,0.16666666666666666,0.12927756653992395,0.22105263157894736,0.20657276995305165,6,-1.3563844325981775,1.7397938296834146
DEN,1873,33.544046983449014,0.5670048051254671,882.8120662039508,0.0,136,0.41935483870967744,0.3481781376518219,0.7829457364341085,0.6615384615384615,2,2.101638968901366,6.998359520102043
DFW,2226,32.607816711590296,0.532345013477089,803.8247978436658,0.0,146,0.14285714285714285,0.3643312101910828,0.7250437828371279,0.5642523364485982,2,1.7763831377492119,7.729508144269131
DHN,10,9.1,0.3,170.0,0.0,1,0.0,0.0,0.0,0.6,5,-0.28665183636822117,-1.1041159423208977
DIK,11,-13.363636363636363,0.18181818181818182,484.1818181818182,0.0,2,0.0,0.14285714285714285,0.0,1.0,5,-0.3382595649147275,-0.7853556826865192
DLH,16,2.6875,0.3125,302.125,0.0,2,0.0,0.3333333333333333,0.0,0.25,5,-0.4115477805662009,-1.0305304054265665
DRO,18,35.388888888888886,0.6666666666666666,494.55555555555554,0.0,2,0.0,0.7142857142857143,1.0,0.5,1,3.404292388720739,-0.022103717295428336
DSM,78,14.782051282051283,0.32051282051282054,549.2179487179487,0.0,11,0.375,0.22580645161290322,0.5,0.32,3,0.12041999533873264,-0.009953420040997665
DTW,853,4.4314185228604925,0.21453692848769051,790.1817116060961,0.0,86,0.4,0.2123076923076923,0.23837209302325582,0.2022792022792023,6,-1.0821859419234157,3.3143022814484864
DVL,3,47.0,0.3333333333333333,453.0,0.0,2,0.0,0.0,0.0,0.5,5,0.695558686522101,-0.7706452105772347
EAU,7,30.428571428571427,0.42857142857142855,268.0,0.0,1,0.0,0.5,0.0,0.3333333333333333,5,1.252851633048222,-1.0829342500564239
ECP,24,42.708333333333336,0.2916666666666667,377.9583333333333,0.0,4,0.0,0.08333333333333333,0.0,0.5,5,0.6340116304523392,-0.7789959054425727
EGE,36,18.166666666666668,0.4444444444444444,1046.2222222222222,0.0,10,0.0,0.2222222222222222,0.3333333333333333,0.5416666666666666,3,0.7662051671644734,0.2940364924379881
EKO,9,-18.22222222222222,0.0,200.0,0.0,1,0.0,0.0,0.0,0.0,0,-3.051897130082519,-1.1939500640627732
ELM,10,15.9,0.2,587.9,0.0,3,0.0,0.2857142857142857,0.0,0.0,0,-0.9529651793356031,-0.7415619011612781
ELP,116,20.78448275862069,0.3706896551724138,638.9741379310345,0.0,12,0.0,0.3090909090909091,0.4666666666666667,0.41304347826086957,3,0.7411926066480684,0.15212869375886112
ERI,7,15.142857142857142,0.42857142857142855,398.0,0.0,1,0.0,0.5,0.0,0.3333333333333333,5,0.7707755312664425,-0.9710182087622344
ESC,5,-13.6,0.0,306.0,0.0,1,0.0,0.0,0.0,0.0,0,-2.936251281681156,-1.0899451294111626
EUG,45,-8.333333333333334,0.08888888888888889,603.2666666666667,0.0,4,0.0,0.0,0.0,0.25,0,-2.1403705096921195,-0.6069959165368081
EVV,28,16.142857142857142,0.39285714285714285,353.82142857142856,0.0,4,0.0,0.2,0.6666666666666666,0.6,1,0.9776618453890731,-0.30624007478647397
EWN,5,6.4,0.2,433.0,0.0,1,0.0,0.5,0.0,0.0,0,-0.7548820183716176,-1.0037368348306812
EWR,907,14.551267916207276,0.30760749724366043,1182.710033076075,0.0,77,0.09090909090909091,0.17819148936170212,0.445,0.38125,6,-0.2086875930936294,3.7640533554044207
EYW,34,-0.9117647058823529,0.08823529411764706,386.6764705882353,0.0,3,0.0,0.16666666666666666,0.0,0.0625,0,-1.8671957371360073,-0.9051823429114462
FAI,18,-7.111111111111111,0.05555555555555555,1038.3333333333333,0.0,2,0.0,0.125,0.0,0.0,0,-2.479335226697974,-0.31958091726764487
FAR,51,11.803921568627452,0.39215686274509803,583.9607843137255,0.0,6,0.3333333333333333,0.3333333333333333,0.75,0.4,1,0.7615486671177031,0.034251351479228406
FAT,87,16.632183908045977,0.3103448275862069,487.5287356321839,0.0,7,0.0,0.3877551020408163,0.0,0.25806451612903225,5,0.075827777607881,-0.5837719634546614
FAY,11,24.272727272727273,0.18181818181818182,331.0,0.0,1,0.0,0.0,0.0,0.25,0,-0.8414347435123977,-0.9696717754021434
FCA,13,15.923076923076923,0.46153846153846156,730.1538461538462,0.0,3,0.0,0.5,0.0,0.4444444444444444,5,1.0175948080784,-0.562131956529852
FLG,12,10.0,0.4166666666666667,119.0,0.0,1,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,1,0.7107401308423331,-0.6995149254084913
FLL,795,4.2176100628930815,0.21006289308176102,1066.4842767295597,0.0,57,0.06666666666666667,0.11830985915492957,0.3489583333333333,0.2446351931330472,6,-1.1735428170161586,2.826169129829207
